Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
1998-08-05,318.0,318.5,314.5,317.5,318.371875,16000.0,11.0,5093950.0,,,4.0,-0.5
1998-08-06,318.0,318.0,315.0,316.0,316.32608695652,4600.0,20.0,1455100.0,,,3.0,-2.0
1998-08-17,265.0,265.0,260.6,261.7,262.80056338028,35500.0,58.0,9329420.0,,,4.4,-3.3
1998-08-18,259.0,262.4,247.7,248.7,254.9682464455,42200.0,152.0,10759660.0,,,14.7,-10.3
1998-08-19,250.0,257.0,237.3,239.1,248.2353200883,45300.0,207.0,11245060.0,,,19.7,-10.9
1998-08-21,250.0,259.8,247.5,250.0,251.75224327019,100300.0,334.0,25250750.0,,,12.3,0.0
1998-08-24,255.0,257.5,248.0,256.5,252.25241935484,24800.0,141.0,6255860.0,,,9.5,1.5
1998-08-25,259.1,268.9,259.1,267.1,265.99084895259,181400.0,580.0,48250740.0,,,9.8,8.0
1998-09-01,245.6,245.9,230.8,231.1,234.89453595822,248900.0,822.0,58465250.0,,,15.1,-14.5
1998-09-04,228.0,228.0,228.0,228.0,228.0,25000.0,1.0,5700000.0,,,11.0,6.3
1998-09-07,237.0,247.6,236.0,247.4,243.24265813253,531200.0,1245.0,129210500.0,,,11.6,10.4
1998-09-08,250.0,255.0,244.5,251.9,249.22815477348,514300.0,1245.0,128178040.0,,,10.5,1.9
1998-09-09,255.0,272.0,254.7,265.2,266.90798679868,606000.0,1416.0,161746240.0,,,17.3,10.2
1998-09-15,278.5,282.5,275.5,281.5,279.51419529837,110600.0,520.0,30914270.0,,,7.0,3.0
1998-09-16,282.5,282.5,273.6,274.7,277.36769383698,100600.0,461.0,27903190.0,,,8.9,-7.8
1998-09-17,276.0,276.0,271.0,274.2,273.89952494062,42100.0,229.0,11531170.0,,,5.0,-1.8
1998-09-18,272.6,273.0,268.8,271.2,270.50483425414,72400.0,326.0,19584550.0,,,4.2,-1.4
1998-09-21,274.0,275.0,264.5,265.5,269.34027617952,86900.0,275.0,23405670.0,,,10.5,-8.5
